# modid|filename|score|maxscore
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=1#mods
36889|ddream0.mod|10|10
139690|dead_flower.xm|10|10
95878|december_rain.mod|10|10
37078|declara.xm|10|10
37125|deep.xm|10|10
37127|deep2.it|10|10
66139|deeplydepressed.mod|10|10
37331|delight.mod|10|10
37449|demon.mod|10|10
105917|denaris_remix.mod|10|10
78751|dental_day.mod|10|10
171882|des_-_tune1.mod|10|10
37775|dev-ijgl.xm|10|10
38129|dgtlnnv1.mod|10|10
38145|dh_down.xm|10|10
38420|digsh.s3m|10|10
126786|dilemma_magnaruxius.mod|10|10
122184|dino.mod|10|10
38510|dipa-feel.xm|10|10
38549|diryx.it|10|10
96320|discodancing-ii.mod|10|10
96346|discodancing.mod|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=6#mods
38593|discodel.xm|10|10
38641|disill.mod|10|10
35327|distance.s3m|10|10
157695|dj_dark_-_generation.xm|10|10
157744|dj_dark_-_the_prophecy.xm|10|10
139794|dj_reptile_edit.xm|10|10
139486|dj_reptile_picotto.xm|10|10
39606|dmageofd.xm|10|10
39861|dnatrance-professional.xm|10|10
154494|doh_thie.it|10|10
173230|doomination.s3m|10|10
40063|doomsday.s3m|10|10
145832|doom_2-game_over.xm|10|10
74333|dorado.s3m|10|10
170814|drakangui.it|10|10
67479|drax-zarathustra.xm|10|10
40390|dream8b.it|10|10
108682|dreamer_midas.mod|10|10
67489|dreamfish-sanxion.mod|10|10
40538|dreamsco.mod|10|10
41162|ds_tfc.xm|10|10
41273|dt_again.xm|10|10
41770|dusk.s3m|10|10
166935|dxn-mw-4-cave.it|10|10
160522|dynamix_-_iwndtkot.xm|10|10
72439|e-79014.s3m|10|10
41010|edymion5vocal.xm|10|10
148579|eehana.xm|10|10
91295|einsteinium-12.mod|10|10
169665|electronbrush.it|10|10
41590|eliminat.mod|10|10
41760|elw-sick.xm|10|10
41891|emotion.mod|10|10
89762|empty_space.mod|10|10
104125|enlightenment.mod|10|10
40851|f-tube.mod|10|10
41077|faeries.it|10|10
91286|faggots_universe.mod|10|10
41177|fall.xm|10|10
41210|fallenh.xm|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=7#mods
123946|false_visage_ext_.mod|10|10
150236|farewell_my_reverie.xm|10|10
161321|fatigue.xm|10|10
41544|fb-drunkmonkey.it|10|10
41671|fear2.mod|10|10
41930|ff3.it|10|10
89767|fight.mod|10|10
42108|fin-anot.it|10|10
164306|final_boss_lol_short.xm|10|10
76498|first_samurai.mod|10|10
140609|fish_and_chips.xm|10|10
42426|flash5.mod|10|10
160609|flashtiq.it|10|10
42474|flc_doit.xm|10|10
65876|fleshbrain-polarchase.mod|10|10
142388|flight_of_the_dragon.xm|10|10
82936|flimbos_quest.mod|10|10
123718|flip-flap.mod|10|10
168406|floppi-tom-jene.xm|10|10
141348|flying_around_a_rainbow.xm|10|10
42915|fm-injct.xm|10|10
170255|fodcredit.xm|10|10
123142|forgive_me.mod|10|10
156535|forrest_hymn.it|10|10
43283|fortune.xm|10|10
43301|foshovoi.it|10|10
43357|fp-main.mod|10|10
144168|funkadelic.xm|10|10
43911|funky_k.xm|10|10
118422|furry-7091c.mod|10|10
134416|gaia_floating_in_me.xm|10|10
42809|galway.xm|10|10
89313|game1-introtune1.mod|10|10
143130|garbage_on_titan.xm|10|10
42973|gateway.mod|10|10
135562|gateways_to_jambala.xm|10|10
151152|gayporn1337_4the_win.xm|10|10
43128|gem-retro.mod|10|10
43179|geomshad.mtm|10|10
43474|gh-epic.xm|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=8#mods
43485|gh-jour2.xm|10|10
43499|gh-timeb.xm|10|10
43516|ghidapop.xm|10|10
164193|giana_sisters.xm|10|10
135527|give_yourself_to_the_darkside.xm|10|10
168967|glacial.xm|10|10
172499|gnom7.it|10|10
125058|gold_return.mod|10|10
148439|good_old_days.xm|10|10
168575|go_to_sleep.xm|10|10
137813|gradually_unfold.xm|10|10
156201|grand_canyon.it|10|10
167005|grubi_-_beans_and_rusk.mod|10|10
44226|grvpcorn.it|10|10
44272|gtrash3f.mod|10|10
42563|guildofs.xm|10|10
108760|gurk_invasionen.mod|10|10
149134|gutbucket.xm|10|10
78955|haraball.mod|10|10
149271|hardstyle.xm|10|10
44867|harmoniz.xm|10|10
44950|haunted.it|10|10
45005|hb_wave.it|10|10
147985|head_on.xm|10|10
144194|heartland.xm|10|10
70994|heaven-watching_us.s3m|10|10
155084|heavy_heart.it|10|10
172617|helios.xm|10|10
45471|her7.mod|10|10
45675|hfsmall2.it|10|10
45739|hiddenempire.s3m|10|10
155520|highway_fusion.it|10|10
155565|high_ruby.it|10|10
45869|hill.s3m|10|10
104266|hold.mod|10|10
72537|homeland.s3m|10|10
144025|horizon-highquality.xm|10|10
46538|houseout.mod|10|10
167616|house_my_kolsch_up.mod|10|10
46553|hovering.xm|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=9#mods
109389|how_night_air_smells_1.mod|10|10
46621|hrz_low.xm|10|10
168627|hsc.xm|10|10
47000|hyo-deid.it|10|10
47012|hyo-fate.it|10|10
159145|hyo-flak07.it|10|10
65631|hyo-gurk.it|10|10
156025|hyo-laekt.it|10|10
47344|hyperdrive.mod|10|10
47347|hyperdrv.xm|10|10
44610|iampeace.it|10|10
45094|illegal1.xm|10|10
45108|illegal8.xm|10|10
45267|iminu4ia.mod|10|10
45297|immortal.mod|10|10
134759|im_a_chip_melody.xm|10|10
45190|im_heaven.s3m|10|10
168914|influenza.xm|10|10
99650|inner_feelings.mod|10|10
125768|interference_ending.mod|10|10
169349|interstellar_lullaby.xm|10|10
89246|introghost.mod|10|10
45440|in_orbit.mod|10|10
124027|in_the_eyes.mod|10|10
149583|in_the_mix.xm|10|10
45456|in_the_nick_of_time.xm|10|10
46349|ion_down.s3m|10|10
46358|ion_fth.s3m|10|10
46366|ion_low.it|10|10
46372|ion_rsng.it|10|10
46687|itsde018.xm|10|10
93396|its_over.mod|10|10
46834|iwos.xm|10|10
121297|i_can_feel_her_body_.mod|10|10
126164|i_need_fun.mod|10|10
44452|j-kgdsky.xm|10|10
44970|japtique.mod|10|10
115238|jazzberry_juice_edit.mod|10|10
74780|jazz_jackrabbit_-_songcd4.s3m|10|10
69713|jazz_jackrabbit_2_-_carrotus.s3m|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=10#mods
71639|jazz_jackrabbit_2_-_jazz_be_damned.s3m|10|10
71521|jazz_jackrabbit_2_-_jazz_castle.s3m|10|10
69163|jazz_jackrabbit_2_-_prerelease_-_carrotus.s3m|10|10
165579|jesper_kyd_-_nightfall.mod|10|10
167096|jesper_kyd_-_space-song.mod|10|10
137382|jessica2.xm|10|10
170414|jk_confused.xm|10|10
172358|jk_spacetunnel.it|10|10
170273|jk_stereothematic.xm|10|10
165814|joule_-_rainbow.xm|10|10
162161|joule_ko0x-george_carlin.xm|10|10
46476|jt_burn.xm|10|10
46487|jt_flexi.xm|10|10
46502|jt_pools.xm|10|10
46529|jt_xmas.xm|10|10
46870|justonen.xm|10|10
102824|just_another_day.mod|10|10
46806|just_two.xm|10|10
103702|kaffe_og_kage.mod|10|10
102139|kallisti-syndrome.mod|10|10
47485|karate.it|10|10
162544|kenny_beltrey_-_positrons.xm|10|10
112130|kerrasta_poikki.mod|10|10
47727|killbfly.mod|10|10
809|king2.it|10|10
124276|klims_theme.mod|10|10
170577|ko0x_-_150_days_v2.it|10|10
167063|ko0x_-_farmfest2009invitation.it|10|10
162588|ko0x_-_goodbye_it.it|10|10
133619|ko0x_-_illumination.it|10|10
163055|ko0x_-_kidnapping_joule.xm|10|10
162022|ko0x_-_we_are_flying.it|10|10
141993|krut-_fotboll_.xm|10|10
95820|laidback4.mod|10|10
47351|lambadaclub.it|10|10
140827|land_of_fantasy_ii.xm|10|10
47501|lastninja2_the_street_loader.mod|10|10
70680|lavender_hill.s3m|10|10
165463|laxity_-_progressive_jodling.xm|10|10
135178|lghths_keepers_kite.xm|10|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=10&page=11#mods
171950|lhs_brd.mod|10|10
171455|life_on_the_street-6.xm|10|10
149079|life_under_water.xm|10|10
157290|line_of_coherant_thought.it|10|10
159526|little_bitchard_-_boom.xm|10|10
48374|lk-desert_dawn.mod|10|10
105208|lks_doskpop.mod|10|10
68085|lluvia-chanel_n.xm|10|10
48695|logic.xm|10|10
99453|londoncairofuji.mod|10|10
136733|loveloudbeam.xm|10|10
49215|lq_khe.it|10|10
49496|luna1.xm|10|10
48542|m3-home.xm|10|10
80537|magma.mod|10|10
48868|mag_wnd2.it|10|10
167012|mahtiviikinki_-_hallowed_be_thy_name.mo3|10|10
49158|mainmenu.mod|10|10
49160|mainth.mod|10|10
49186|majestic.it|10|10
138941|malin.xm|10|10
168881|malmen_and_joule-tomorrow_without_you.xm|10|10
170963|malmen_vs_retro_-_citrus_paradisi.xm|10|10
165415|manwe-neon_city.it|10|10
66505|manwe-song_of_peace.mod|10|10
49575|marsinvd.xm|10|10
924|mechasha.it|10|10
50164|medeltid.xm|10|10
50232|meeting.mod|10|10
127910|megademozak.mod|10|10
149361|megaman_2_quickman.xm|10|10
50390|mekx-rmb.s3m|10|10
