# modid|filename|score|maxscore
# http://modarchive.org/index.php?request=view_by_rating_comments&query=6&page=1#mods
154192|0-mas_fire_remix.xm|6|10
58905|001megaf.xm|6|10
106317|00enjoy.mod|6|10
58961|01anb.xm|6|10
120430|02-partyclaps.mod|6|10
59013|027djzjack_wsmm.it|6|10
59090|03a51.xm|6|10
59294|1.xm|6|10
155079|120.it|6|10
59568|127.it|6|10
59579|1276-junglejuice.xm|6|10
59593|1280-midnightlullaby.xm|6|10
59606|12ako.mod|6|10
59621|12polize.mod|6|10
59667|1492mix.it|6|10
59726|17.mod|6|10
65947|1995-house-megamix.mod|6|10
59873|1999.mod|6|10
65452|1dracave.it|6|10
60025|1egypthemis.mod|6|10
60227|2010_.mod|6|10
60430|2bahippy.mod|6|10
60522|2d.it|6|10
60608|2forget.it|6|10
60683|2morro.xm|6|10
60760|2step1.xm|6|10
60801|2untalen.mod|6|10
140107|2world98.xm|6|10
150421|2_force.xm|6|10
119457|3-ingame_1.mod|6|10
60899|360.xm|6|10
61379|500cc.xm|6|10
99425|68000_guru_music.mod|6|10
61620|6beat.xm|6|10
61643|6p_ciel.xm|6|10
133584|6thsense.it|6|10
61727|783-thejungleescape.xm|6|10
61787|7th_fmu2.xm|6|10
152830|7_years_on.xm|6|10
166900|8-bitten.xm|6|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=6&page=2#mods
169739|80472-heroes.xm|6|10
172860|80472-november.xm|6|10
61872|80sode.it|6|10
169290|83257-sadsong.mod|6|10
170145|83694-return.xm|6|10
172770|84556-troubled.xm|6|10
172124|84692-misunderstood_keys.xm|6|10
173061|84899-amber.it|6|10
61937|8t-shore.xm|6|10
61994|94.s3m|6|10
62044|9innails.s3m|6|10
32409|a-----07.it|6|10
32422|a-000001.mod|6|10
32441|a-499.it|6|10
32513|a-oracle.it|6|10
32540|a-tlantic1.xm|6|10
32558|a0d_crpl.xm|6|10
32559|a0d_gate.xm|6|10
32563|a0d_prog.xm|6|10
32564|a0d_spce.xm|6|10
32574|a9-melin.it|6|10
32627|aalibomb.it|6|10
32673|abaod.xm|6|10
32677|abcforme.mod|6|10
32681|abf.mod|6|10
32682|abibeat.mod|6|10
32696|abra-1.mod|6|10
32697|abraca.xm|6|10
32703|absolu.mod|6|10
32706|abst.mod|6|10
32708|abstract.xm|6|10
32736|ac-mp.it|6|10
32761|acc-april.xm|6|10
157879|accord_pl_-_delight_part_16.mod|6|10
32807|acidatio.xm|6|10
32819|acidicla.mod|6|10
32828|acidos.it|6|10
32832|acidrain.xm|6|10
32805|acid_moo.xm|6|10
