# artistid|name
# http://modarchive.org/index.php?request=view_artist_roster&page=1#mods
84898|DesiMan88
68997|Deviator
69095|Devin Haddox
69136|Devlyn
68919|dfensman
85095|dIaBLo
84695|DigiDz
81166|Digital Beat
69066|DigitBox
69492|Din
69597|Dionysos Industries
68881|DipA
85395|DirtyPhooker
68895|distance
69598|Dj ASSphailt
83315|DJ ATTaCK
69431|DJ Blinky
69043|DJ Bourg
69545|DJ Buch
68981|Dj Cobra
68783|Dj Dafuki
69599|Dj DimE
68878|DJ eCera
68980|Dj Harmful
68885|DJ Jam-S
69327|dj KiKa
83495|DJ KrLe
68884|DJ Mavica
68754|DJ Merlin
69425|DJ Mick
69629|Dj MoonRaver
69287|DJ Neuro
68865|Dj Nitrogen
69637|Dj Phantom
84666|DJ SALT
69254|DJ Scorpion
69294|DJ Speedstar
69646|Dj thumb-boy
81571|DJ Trackmaster
# http://modarchive.org/index.php?request=view_artist_roster&page=10#mods
68964|Dj [x] of Cellblock 4 ...
69364|Dj-Distance
81590|djarty - aRTy - artyboy
82050|djboltor
84853|djc
69526|djem
81062|DJHepci
69600|DJKiKE
84649|DJP Rotjail
69104|djschnee
69035|djsean
69452|Dj_Khan
69052|DJ_Random
69179|dj_v
83586|Dma-Sc
69432|DN of EoK
68856|DN3
82156|DNA-Groove
82214|DocBrown
69183|doh
83694|DonCapilla
77815|Dopex
69420|dorcelle
83841|DoubleGJ
69098|double_d
85233|Doxic
80544|Doyubi
69071|DPerl
69250|DR
69140|Dr. Awesome
68907|Dr. Simon
84536|Draco
80505|dragonfly
68785|DreamMaster
68961|DreaMSectioN
81960|Dreamweaver
69266|Dreq
69530|DrillGuard
68955|DrillHead
84702|Drozerix
# http://modarchive.org/index.php?request=view_artist_roster&page=11#mods
69212|drq
68952|DrSaygon
69668|drumstick
69247|Dr_Zingo of Lemonride
85180|dto
82945|dudel
69249|dusodril
81160|dyter
69525|Eagle
69446|Ebola
68804|ECLiPSE&Acirc;&sup3;
82898|Edwyn Mayhew
69053|edzes
80380|eftos
84991|egj
84994|Egregious Zones
80547|Eigus
69547|ekid
82730|Ekorren
69517|El Blanco
83322|el Musho
82353|eldorado
69603|Electric Keet
85388|Electro
69146|Electro Bastard
69435|Electropizza
81387|elfan
82371|elijah
69054|elliptical
69550|elmos
81506|elPatrixF
69004|Elwood
69390|Elysis
69662|em022000
85330|emissary
68925|emujerky
69480|entact
69357|enuo
69537|Epoch
80981|Eponasoft
# http://modarchive.org/index.php?request=view_artist_roster&page=12#mods
68994|Erdrick
83862|ErkosOne
81968|Erky
69226|Error303
68948|Evan Maxwell
82422|EviL
82337|EvilMuffin
85135|evo
81690|Exhale
85240|eXOdus
69282|Exoduz
83777|exploit1080
80584|EyeGem
80409|eyenot
68965|F L Y i N G  H
82139|Fabrice Deshayes aka X...
80815|Fairlight
69570|falcon
82087|Falk Joensson
68983|Fallon
68912|fandango
82255|FantomenK
69010|Farmer
84754|Fat Warrior
82170|FawFuL
69134|fawkz
69605|FBY
82429|FearofDark
82622|FearsomeDragonfly
84476|Federigoo112
68889|Felix
69268|Fermus
82253|Feryl
69493|fifth note
69309|finnr
69194|Finwave
69131|firefox
80739|fisk0
68844|flagrant
83949|Flalaski
# http://modarchive.org/index.php?request=view_artist_roster&page=13#mods
69174|flamingo
85284|FlaxixAvant
69403|FleshDance
82090|flite
81224|fortytwo
83233|Forward
80526|fosk
69062|foziak
84595|franz_koopa
69458|Frater Sinister
68905|fraze
69606|FREAKBAIT 2000
68857|fredrik dj
68786|Freeloader
81749|Freeplay Band
69073|Frek
69608|FriTz
69276|Frostbite
69024|Frostbite
83768|Frozen Yellow Light
69506|funkti0n
68816|Funky Glowmonkeys
69076|FunkyZipperDooHahBoy
69438|Fusion Faktor
68929|FutureFrog
68761|g0ldberg
68876|GaffL
80597|GaijinPayne
83996|GameWeazle
80907|Gamma
83257|Gamma7
69162|Gammis of Lemonride
69442|Gargaj
68841|Gargoyle
80477|Garian
69385|Gazman
82534|geckojsc
81653|GeNemesis
69060|Genetic Gemini
69346|Genomin
# http://modarchive.org/index.php?request=view_artist_roster&page=14#mods
68760|Ghidorah
69479|Ghost Fellow
68942|Gilmore
81498|Glejs
83050|gOAT
68875|Goble
68944|Gollum
84965|goluigi2196
69323|goobso
68879|Gopher
69671|goto80
68846|GottCL
83610|GPprj
83568|grapejohnson
80296|GreaseMonkey
69152|Great Vazelinus
83727|Greca Displomen
81025|gregok
69075|GrimlockSoft (gs)
81728|grimmeld
84016|Groboclown
69618|Gronda Gronda
69347|gruik
81735|Grzesss
68967|Guardian Angel
83525|h0ffman
85275|HaashiaExE
80555|hackez
68762|Haggeman
82405|haloflooder
68901|hang0wer
69168|hansen
81828|HaPK
82245|HartRaver
85247|Hattmannen
82695|HED
68987|hedeon
84559|Heiko
69696|hein
69214|HELLSUN
# http://modarchive.org/index.php?request=view_artist_roster&page=15#mods
84455|Helpi
69448|hertzcanary
69313|herzog
83823|HEx
82149|HexaHoney
69611|Highlander
69566|Hilander
69610|HMW
69034|HOAK
68773|Hobz
69137|Holy Dj
69319|HomesickAlien
80423|horselogy
82970|Hotcakes
83431|hukka
81629|Hully Gully
81889|humanoid
69291|hunted
69694|hunz
68832|hybridx
69169|HyoChan
69612|Hypr
80415|i7
84134|iaoth
84692|Ibon Moraza Garcia - N...
68874|iCE of dEPRESS!ON
81580|icedream
69301|IceFront
80436|icemint1
69534|icerain
69613|Icicle
81762|ijude
69077|illegalinstruction
82191|Imaginary Side Dish
84585|ImmortalFlux
81435|Imode
80472|Impaler
68849|Imperial Thunder
84120|infra
69465|insipid
# http://modarchive.org/index.php?request=view_artist_roster&page=16#mods
69260|Inspired of T M U
69614|Intelligence
69265|Invisuu
82345|IOZ44
85358|ipi
82876|iqdoom
80374|irreligious
68838|It-Alien
83780|itsnotuitsme
68811|Ivanhoe
69105|Ivory
84102|izahbakaj
80541|izmo
68828|J R Wells
80286|Jack
69513|Jakim
69445|jallabert
80391|jallamann
81691|JAM
82596|Jam-O
69119|jamsok
84899|Jan125
68780|jansson
69101|Jarett
80568|Jarp
81510|JaseChong
69692|jason
69697|jasonwhitley
69224|Jay / Redland Prod
82155|Jay FX
69538|Jay H.
84989|Jay-Mez Ozredkar
69153|jaysonic
69693|jazz
81411|JDruid
69114|jellyfish
68807|Jeremy
83766|Jeroen -WAVE- Tel
69036|jerry
69691|jesperkyd
# http://modarchive.org/index.php?request=view_artist_roster&page=17#mods
69138|Jester
82028|jESTER TdWp
68913|jesus2099
81060|JeVa
69387|Jhq
81211|jikoO
81993|Jimfreak
80424|jive
69255|jjmax
82251|jlachan
81811|JM
84779|Jmoey139
68793|Jo Po Productions
80503|Jobro
68851|Joch
69569|jogeir-liljedahl
82048|johan
69277|John Marwin
68823|Johnny B
68908|Jolesco
69367|Jonathon Striker
69070|jonnymind
83245|Joooo
83670|Jophish
69616|Jordan
81911|JordanMaster22
69295|Joseph Collins
69086|JosSs
81658|joule
69384|joynes
84110|jpc
69299|jsb
69617|JUICE
68931|Justin Owens
69453|Justin_Legate
69426|Jymppe
69124|k-9
69200|k-jaq
82798|k0wax
69325|kaktus
# http://modarchive.org/index.php?request=view_artist_roster&page=18#mods
80289|kaneel
69433|Kanttu
82089|karfunkel
69208|karlson
69171|Karsten Koch
68840|Kaspar
84804|Katie Cadet
69206|KeeN
82850|kefka
81780|KeksosDGR
69490|Kenogu Labz
82184|kenshi
46904|keo
80577|Kerin
81515|keshivadas
69261|keskitalo
69326|Kewlio
81959|Khades
69388|kickback
80745|kielon
69116|Kilu
80697|Kingjeste
84386|Kipling
69405|kislorod
68926|Kitsune
69028|kiwi2000
69619|KLAUSI
69476|kluris
69430|KMC
81380|Kmuland
77804|ko0x
69123|Koala
68888|Komosa
85203|Kompositkrut
69109|Komsip
82552|Kontaktproblem
80451|Koonat Meelar
69620|Kooty
82756|kopra
69102|koro
# http://modarchive.org/index.php?request=view_artist_roster&page=19#mods
84169|kot90
82787|Kragle
68806|Krautz
69509|kristnjov
69454|Krs Metal
69159|Kruser
82330|kssbcosmo
80356|kuddy
83067|KurtZ
84953|Kvakkerakk
69434|Kwamek
83396|Kyu S-
68843|L.A.C.
68863|laamaa
82275|lackluster
69017|Lacquered Mouse
81049|lahje
83254|lamb
68850|lasombra
69167|lassieronen
68748|lastguy
69111|lateq
69443|LauriT
83692|lazart
81494|Lazer
68829|Legend Killer 7
83144|LegendaryQ
84822|LegoSpacy
82791|lemonade
84204|LemonJello
83682|leon
81425|Lestat75
68933|Lethal Dose 50
69621|Leviathan
68830|LGaga
84384|LHS
69231|Libris
69128|Likuid
69223|Lindgren
81601|Line
# http://modarchive.org/index.php?request=view_artist_roster&page=20#mods
81252|lis6502
68819|LittleElk
80510|Littlink
68745|Lizardking
68791|Llageran
80581|LMT
69462|locutus
69220|lonestar
84516|LoneStarX
68976|Lonnie Taylor
83924|looseBit
68860|Lord Choma
68808|LoRdLaZeR
68747|loser
68918|LouhiZ
69256|louigi
69661|LSnK
69622|Lucifer
81651|Lurios
85262|LynXX
84749|M00G
69141|m0d
85091|m0lecule
69377|macherman
69321|mAciD
80365|macsnafu
69623|MacZacken Team
68977|Mad God
69207|Mad Mega
69624|Mad SUB
82277|madbrain
69285|Madman
84436|madness
83079|MadScientist
81870|Madsy
69625|Maelcum
80295|Maelstrom
69170|maf
68978|Mage
82021|Magnar aka Lizard
# http://modarchive.org/index.php?request=view_artist_roster&page=21#mods
69626|Magnus
68949|Magus
69133|mahoney
69540|Maikel Yeremy
69469|maktone
84115|malmen
69558|manga
69350|Manic-depressive honeybee
68990|manq
80912|Manwe
81921|mapleleaf aka dj shamman
81333|Maran Project
82961|MarcroSoft
69233|Marek Roczniak
80881|marfil
68805|Marki
69565|markknight
80358|Markus Kothe
77811|marshallh
80308|Master Zoon
68911|MasterMind
82099|MatriM3
84537|MatrixKittenX
83329|Max
