# artistid|name
# http://modarchive.org/index.php?request=view_artist_roster&page=1#mods
69536|Vaughamm
83710|veedgo
68752|Velocity
69081|Venture
83089|Vero
69204|vertighost
69354|verto
82344|Vesper
69496|Vibe
84948|Vince Kaichan
69065|Virgill
69477|virgo
82266|Virus BG
68814|Vistitua
77797|vitz77
69160|Vogue
83374|VOiD
81944|Void Pointer
68937|Voodoo Alex
81415|vst
69602|W.D. McBride
83623|wabe
69132|walkman
69217|WandererOfDeis
69000|warder
68765|warhawk
69571|warlord
69652|Warman
82968|warnie
69049|Weevil
69653|Whiskeymusic
82082|Whisper
69022|Wide Damned Mind
# http://modarchive.org/index.php?request=view_artist_roster&page=37#mods
69009|wig
82154|Wiklund
83689|Williew705
84814|Wing
80393|winke
69318|winter
83856|wintermute303
83934|WireMan
69252|wiseman
68797|wishbone
69654|Wolfric Tugmutton
69543|woolters
69655|Workbench
82075|Wouter
69656|Wraith
69501|X-Rabbit
69424|Xaser
81144|xcerpo
68916|xcerx
69331|XeeGee
84885|Xemogasa
83439|Xenon Quantic Exposures
84757|XenouX
69359|xerion
80679|xeron
68771|xerxes
69057|xiang V3
69230|xnc
82040|XraveN
69008|xtd
69483|Xtense
81505|XTROnik
82366|Xylo
83066|XyNo
68778|Xyzzy
69173|xz
69328|y0da
69423|yaemon
69562|Yannis Brown
82434|yantraboy
# http://modarchive.org/index.php?request=view_artist_roster&page=38#mods
69450|Yarmo
84901|Yawin
84776|YeeMyu
69311|Yeep
69521|yerzmyey
69406|ykk2
68772|Yoz
69539|yozfitz
69196|yrde
85403|YTPo0OP
84759|YuGiOhJCJ
83963|YZYX
83889|Z3RG
81110|z80pio
80417|zabel
69657|ZackmanO
69272|zanazac
68935|Zandax
69484|Zanoma
68855|ZaphoD
68898|zaril
85008|zatzen
68956|zealan
83222|Zenon
81150|Zephism
68753|Zepsi
69026|zerion
69663|Zero Prophet
69027|Zilly Mike
68970|zipp
68936|ZkilfinG
69358|Zlobotore
69306|zmex
69659|Zodiak
68774|Zola
69373|zombah
69514|zorg
68940|Zorgman
82110|Zot
69546|zovik
# http://modarchive.org/index.php?request=view_artist_roster&page=39#mods
81689|Zox
68821|ZPP
81429|Zurry
68958|[dingo]
68877|_Matt_
69658|_zETA_
