# modid|filename|score|maxscore
# http://modarchive.org/index.php?request=view_by_rating_comments&query=5&page=1#mods
58847|00003.it|5|10
58853|00006.it|5|10
58872|00010.it|5|10
59260|0some.it|5|10
59268|0today8.it|5|10
59522|1219-ditch.xm|5|10
59793|1989.mod|5|10
60045|1kis-dev.xm|5|10
60116|1stluv.xm|5|10
173059|1st_mod.mo3|5|10
60240|205che.xm|5|10
60381|28kmodem.xm|5|10
126852|2_diva.mod|5|10
87013|2_steps.mod|5|10
60933|3d-demo-ii.mod|5|10
61053|3rdcome.xm|5|10
61143|464.xm|5|10
61274|4light.xm|5|10
13|4th.xm|5|10
113502|5th_dimension.mod|5|10
172356|69392-floating_around.xm|5|10
115534|6th_robobck1.mod|5|10
61733|7seconds.s3m|5|10
61779|7th_dizc.xm|5|10
61782|7th_drum.xm|5|10
61801|7th_ucsi.xm|5|10
155825|80616-loop.mod|5|10
163837|80616-stardust.xm|5|10
61878|81_.xm|5|10
168498|82753-destruct.xm|5|10
169871|82898-universe.it|5|10
168823|82933-drive.xm|5|10
170082|83079-alliance.xm|5|10
172588|84556-follow.xm|5|10
172642|84556-world.xm|5|10
173058|85016-awesome_0cc.xm|5|10
61942|8t-sligh.xm|5|10
61972|92029.it|5|10
62024|99.xm|5|10
32430|a-01aaab.xm|5|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=5&page=2#mods
32459|a-chrome.mod|5|10
32354|a-jam3.mod|5|10
32502|a-night.xm|5|10
32505|a-nt.xm|5|10
32560|a0d_mind.xm|5|10
32561|a0d_more.xm|5|10
32562|a0d_mtns.xm|5|10
32566|a19k.mod|5|10
32679|abe.xm|5|10
32690|above.it|5|10
32702|absnuts.mod|5|10
32719|abyss.s3m|5|10
32757|acadaca.xm|5|10
32759|acc-afroman.xm|5|10
32767|acc-siiit.xm|5|10
32811|aciddrea.it|5|10
32820|acidien.it|5|10
123123|adeste_fideles.mod|5|10
32924|adieu.s3m|5|10
33073|agh_pclip.xm|5|10
33031|ag_tech.mod|5|10
138741|ahh_baby.xm|5|10
33135|aioboete.mod|5|10
33181|akiradark.xm|5|10
161293|algar_-_wepp.xm|5|10
170395|alien.it|5|10
72541|alien_incident_-_entity.s3m|5|10
33309|allbattles.xm|5|10
172687|alpha_c_-_formaggio.it|5|10
166031|alpha_c_-_quadruple_penetration.it|5|10
65966|alpmar-never_until_now.mod|5|10
110672|altered_states_2.mod|5|10
33375|altitude.mod|5|10
33193|al_fbass.it|5|10
170066|amazonway.it|5|10
151820|analogic_spirit.xm|5|10
165658|angel9i.xm|5|10
65820|angndemo.it|5|10
33618|angsty.xm|5|10
162056|another-fantasy.mod|5|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=5&page=3#mods
33694|antimix.xm|5|10
33508|an_brght.xm|5|10
33802|apc.mod|5|10
68730|aqq.it|5|10
116570|aquamix.mod|5|10
34018|art.mod|5|10
34069|asbsolo.xm|5|10
34230|atrip.it|5|10
34279|australi.xm|5|10
134889|authentic_moments.xm|5|10
34297|autumn_rain.xm|5|10
34371|aw_gjmd8.it|5|10
32393|aw_wintr.mtm|5|10
34459|axel-opr.mod|5|10
34526|azo_mphs.it|5|10
122347|a_way_too_high.mod|5|10
34618|b-eden.xm|5|10
34627|b-miles.xm|5|10
172796|b10.xm|5|10
34842|baby.xm|5|10
34550|babylon.s3m|5|10
34862|bach.mod|5|10
34868|bachrock.s3m|5|10
34874|back.xm|5|10
34964|badmoon.mod|5|10
34552|badon.s3m|5|10
169402|bad_dance_01.xm|5|10
35041|balance.xm|5|10
35101|balthas.mod|5|10
35124|bam-tihv.xm|5|10
35137|bamse.xm|5|10
167962|banaanisoppa.xm|5|10
35173|barbhrt.it|5|10
35184|bard.xm|5|10
35252|basicana.xm|5|10
35274|basket.s3m|5|10
35396|batman_1.s3m|5|10
35416|battle.mod|5|10
35425|battle04.s3m|5|10
35504|bb_star.xm|5|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=5&page=4#mods
35744|bd_smile.xm|5|10
91016|beach_girls.mod|5|10
35905|beast2_1.mod|5|10
69683|beast_from_the_sea_of_peac.s3m|5|10
35930|beat.xm|5|10
35947|beat7.mod|5|10
150434|beautifully_dreaming.xm|5|10
36352|best98.it|5|10
36641|bigbusin.mod|5|10
36912|bj2_6.it|5|10
37048|bla-heab.xm|5|10
158239|blackthorne_-_daydreams.mod|5|10
37188|blade.mod|5|10
76899|bladerunner.mod|5|10
37256|blasa-dream_chamber.it|5|10
37265|blasa-megabyte.s3m|5|10
123669|blastar_intro2.mod|5|10
37458|bldstone.s3m|5|10
170006|blistered_circuitry.xm|5|10
37535|blitzwin.mod|5|10
172601|blueskies_-_rebound.xm|5|10
127162|boom-2.mod|5|10
38222|boring.it|5|10
38473|brain8.xm|5|10
38674|breath.mod|5|10
38696|breathless.mod|5|10
38743|brethles.s3m|5|10
79265|bring_em_up.mod|5|10
134036|bronzed_girl.xm|5|10
