# modid|filename|score|maxscore
# http://modarchive.org/index.php?request=view_by_rating_comments&query=7&page=1#mods
58770|0-021.xm|7|10
58776|0-blood.xm|7|10
58778|0-bos15.xm|7|10
58786|0-gi6.xm|7|10
58798|0-pixel.xm|7|10
58833|00001.it|7|10
58857|00007.it|7|10
58861|00008.it|7|10
58868|0000tnmmd.it|7|10
58897|00016.it|7|10
58950|007mix.it|7|10
58956|012vval.xm|7|10
170839|01_apus.xm|7|10
155127|046.it|7|10
59176|06_11_97.xm|7|10
74911|0rch_hit_madness.s3m|7|10
59247|0_02i.it|7|10
59404|10kblur.mod|7|10
59374|10_10_97.xm|7|10
59445|1179-kingdomofnowhere.xm|7|10
59497|11weeks.it|7|10
168794|11_-_destroy_this.xm|7|10
172858|12-year-old-joker.xm|7|10
59502|12.s3m|7|10
59556|1234rock.mod|7|10
59563|125.xm|7|10
59584|1277-newforest.xm|7|10
59589|1278-vanity.xm|7|10
59596|128state.mod|7|10
82994|13_friday_95.mod|7|10
59687|15bill8.xm|7|10
68468|16beat-intromodul800.mod|7|10
68466|16beat-partyfinish.mod|7|10
68464|16beat-sea_of_memories.mod|7|10
116921|1989-a-number_stk4.mod|7|10
59800|199.mod|7|10
59845|1996.s3m|7|10
60074|1plastic.xm|7|10
59892|1_djb_2ev.xm|7|10
59929|1_djb_d2k.xm|7|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=7&page=2#mods
59983|1_djb_tlg.xm|7|10
60170|2000.mod|7|10
60235|20333.it|7|10
60312|2383-loveopensyoureyes.xm|7|10
60372|2817-dragonfly.xm|7|10
60465|2crap.xm|7|10
60730|2ndsurvivor.xm|7|10
135392|2_homies_from_arden.xm|7|10
60411|2_tmt.xm|7|10
60993|3founder.xm|7|10
119940|3_fat_guitars.mod|7|10
65798|3_wastenotime.it|7|10
79754|4-track_from_heaven.mod|7|10
61163|4787-youmakememove.xm|7|10
61209|4afriend.mod|7|10
61346|4thtrain.mod|7|10
61194|4wd.s3m|7|10
