# modid|filename|score|maxscore
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=1#mods
41375|faraway.mod|4|10
41442|fascinat.mod|4|10
40703|favor.xm|4|10
41686|fearfact.s3m|4|10
125412|feel_real.mod|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=6#mods
41944|ff3narsh.s3m|4|10
42035|fga.it|4|10
42065|fiesta.xm|4|10
42243|fire.mod|4|10
42700|flt-jzc.it|4|10
42761|flx-kath.xm|4|10
42799|fly_over_clouds.it|4|10
43270|fort.xm|4|10
43277|fortress.xm|4|10
43290|foryou2.s3m|4|10
113029|for_those_who_died.mod|4|10
43316|fotograf.mod|4|10
43420|frankfur.xm|4|10
43509|freezerr.xm|4|10
43551|friend.s3m|4|10
43553|friendrk.xm|4|10
43603|frome.it|4|10
43610|fromnowo.xm|4|10
43647|frugan.xm|4|10
43389|fr_chees.s3m|4|10
43393|fr_indrm.s3m|4|10
40757|fr_tenti.s3m|4|10
43710|fta.xm|4|10
126914|ftbii.mod|4|10
43761|fuel-612.xm|4|10
43772|fuist.s3m|4|10
43813|fun.s3m|4|10
126440|funcky-fusion.mod|4|10
43872|funklo1.xm|4|10
43876|funkmast.mod|4|10
43952|further.mod|4|10
43974|fusion.it|4|10
44026|fuzwri.xm|4|10
42620|g-joo.xm|4|10
42653|g.m.psatur.xm|4|10
42743|gaily.mod|4|10
42777|galaxy2.it|4|10
42778|galaxy2.xm|4|10
42806|galparty.xm|4|10
43196|getdance.xm|4|10
# http://modarchive.org/index.php?request=view_by_rating_comments&query=4&page=7#mods
43225|gettechn.mod|4|10
43244|gff_chms.it|4|10
43384|gg_mill.xm|4|10
43438|gg_tgi.xm|4|10
166572|gm-rte.it|4|10
43878|goatzila.xm|4|10
43946|goindown.it|4|10
43965|gold.it|4|10
44058|good.it|4|10
44080|goodvib.mod|4|10
44108|gotime.xm|4|10
68566|goto80-tahu_recort.mod|4|10
44145|gravity.it|4|10
44182|grenade2.xm|4|10
44230|gryde.s3m|4|10
101236|gryfunk_is_da_vox.mod|4|10
44301|guitaris.xm|4|10
44324|guys.xm|4|10
